,Single Year of Age,Administrative Counties,VALUE
3189,98 years,Tipperary County Council,21
3190,98 years,Waterford City & County Council,17
3191,98 years,Galway City Council,15
3192,98 years,Galway County Council,34
3193,98 years,Leitrim County Council,6
3194,98 years,Mayo  County Council,27
3195,98 years,Roscommon County Council,7
3196,98 years,Sligo County Council,12
3197,98 years,Cavan County Council,8
3198,98 years,Donegal County Council,15
3199,98 years,Monaghan County Council,11
3200,99 years,Ireland,441
3201,99 years,Carlow County Council,7
3202,99 years,Dublin City Council,64
3203,99 years,Dún Laoghaire Rathdown County Council,32
3204,99 years,Fingal County Council,22
3205,99 years,South Dublin County Council,17
3206,99 years,Kildare County Council,13
3207,99 years,Kilkenny County Council,9
3208,99 years,Laois County Council,3
3209,99 years,Longford County Council,1
3210,99 years,Louth County Council,7
3211,99 years,Meath County Council,15
3212,99 years,Offaly County Council,4
3213,99 years,Westmeath County Council,6
3214,99 years,Wexford County Council,21
3215,99 years,Wicklow County Council,8
3216,99 years,Clare County Council,14
3217,99 years,Cork City Council,24
3218,99 years,Cork County Council,25
3219,99 years,Kerry County Council,12
3220,99 years,Limerick City & County Council,17
3221,99 years,Tipperary County Council,10
3222,99 years,Waterford City & County Council,19
3223,99 years,Galway City Council,4
3224,99 years,Galway County Council,22
3225,99 years,Leitrim County Council,3
3226,99 years,Mayo  County Council,14
3227,99 years,Roscommon County Council,9
3228,99 years,Sligo County Council,10
3229,99 years,Cavan County Council,6
3230,99 years,Donegal County Council,18
3231,99 years,Monaghan County Council,5
3232,100 years and over,Ireland,738
3233,100 years and over,Carlow County Council,3
3234,100 years and over,Dublin City Council,100
3235,100 years and over,Dún Laoghaire Rathdown County Council,55
3236,100 years and over,Fingal County Council,21
3237,100 years and over,South Dublin County Council,36
3238,100 years and over,Kildare County Council,25
3239,100 years and over,Kilkenny County Council,18
3240,100 years and over,Laois County Council,10
3241,100 years and over,Longford County Council,6
3242,100 years and over,Louth County Council,28
3243,100 years and over,Meath County Council,21
3244,100 years and over,Offaly County Council,5
3245,100 years and over,Westmeath County Council,12
3246,100 years and over,Wexford County Council,16
3247,100 years and over,Wicklow County Council,18
3248,100 years and over,Clare County Council,19
3249,100 years and over,Cork City Council,26
3250,100 years and over,Cork County Council,54
3251,100 years and over,Kerry County Council,14
3252,100 years and over,Limerick City & County Council,41
3253,100 years and over,Tipperary County Council,23
3254,100 years and over,Waterford City & County Council,19
3255,100 years and over,Galway City Council,8
3256,100 years and over,Galway County Council,42
3257,100 years and over,Leitrim County Council,4
3258,100 years and over,Mayo  County Council,31
3259,100 years and over,Roscommon County Council,12
3260,100 years and over,Sligo County Council,12
3261,100 years and over,Cavan County Council,18
3262,100 years and over,Donegal County Council,33
3263,100 years and over,Monaghan County Council,8
