,Single Year of Age,Administrative Counties,VALUE
507,14 years,Roscommon County Council,996
508,14 years,Sligo County Council,992
509,14 years,Cavan County Council,1262
510,14 years,Donegal County Council,2610
511,14 years,Monaghan County Council,1024
512,15 years,Ireland,70440
513,15 years,Carlow County Council,843
514,15 years,Dublin City Council,5442
515,15 years,Dún Laoghaire Rathdown County Council,2775
516,15 years,Fingal County Council,4948
517,15 years,South Dublin County Council,4273
518,15 years,Kildare County Council,3750
519,15 years,Kilkenny County Council,1588
520,15 years,Laois County Council,1474
521,15 years,Longford County Council,742
522,15 years,Louth County Council,2140
523,15 years,Meath County Council,3500
524,15 years,Offaly County Council,1252
525,15 years,Westmeath County Council,1362
526,15 years,Wexford County Council,2361
527,15 years,Wicklow County Council,2320
528,15 years,Clare County Council,1888
529,15 years,Cork City Council,2551
530,15 years,Cork County Council,5424
531,15 years,Kerry County Council,2128
532,15 years,Limerick City & County Council,2744
533,15 years,Tipperary County Council,2428
534,15 years,Waterford City & County Council,1826
535,15 years,Galway City Council,877
536,15 years,Galway County Council,2775
537,15 years,Leitrim County Council,528
538,15 years,Mayo  County Council,1840
539,15 years,Roscommon County Council,1002
540,15 years,Sligo County Council,954
541,15 years,Cavan County Council,1271
542,15 years,Donegal County Council,2473
543,15 years,Monaghan County Council,961
544,16 years,Ireland,67814
545,16 years,Carlow County Council,873
546,16 years,Dublin City Council,5408
547,16 years,Dún Laoghaire Rathdown County Council,2733
548,16 years,Fingal County Council,4531
549,16 years,South Dublin County Council,4082
550,16 years,Kildare County Council,3516
551,16 years,Kilkenny County Council,1456
552,16 years,Laois County Council,1313
553,16 years,Longford County Council,667
554,16 years,Louth County Council,2071
555,16 years,Meath County Council,3275
556,16 years,Offaly County Council,1166
557,16 years,Westmeath County Council,1348
558,16 years,Wexford County Council,2305
559,16 years,Wicklow County Council,2131
560,16 years,Clare County Council,1850
561,16 years,Cork City Council,2421
562,16 years,Cork County Council,5171
563,16 years,Kerry County Council,2007
564,16 years,Limerick City & County Council,2727
565,16 years,Tipperary County Council,2312
566,16 years,Waterford City & County Council,1811
567,16 years,Galway City Council,862
568,16 years,Galway County Council,2963
569,16 years,Leitrim County Council,494
570,16 years,Mayo  County Council,1878
571,16 years,Roscommon County Council,1014
572,16 years,Sligo County Council,916
573,16 years,Cavan County Council,1161
574,16 years,Donegal County Council,2441
575,16 years,Monaghan County Council,911
576,17 years,Ireland,68026
577,17 years,Carlow County Council,877
578,17 years,Dublin City Council,5640
579,17 years,Dún Laoghaire Rathdown County Council,2772
580,17 years,Fingal County Council,4566
581,17 years,South Dublin County Council,4112
582,17 years,Kildare County Council,3618
583,17 years,Kilkenny County Council,1465
584,17 years,Laois County Council,1421
585,17 years,Longford County Council,645
586,17 years,Louth County Council,2041
587,17 years,Meath County Council,3195
588,17 years,Offaly County Council,1162
589,17 years,Westmeath County Council,1328
590,17 years,Wexford County Council,2266
591,17 years,Wicklow County Council,2232
592,17 years,Clare County Council,1844
593,17 years,Cork City Council,2447
594,17 years,Cork County Council,5105
595,17 years,Kerry County Council,2103
596,17 years,Limerick City & County Council,2615
597,17 years,Tipperary County Council,2456
598,17 years,Waterford City & County Council,1725
599,17 years,Galway City Council,854
600,17 years,Galway County Council,2786
601,17 years,Leitrim County Council,496
602,17 years,Mayo  County Council,1831
603,17 years,Roscommon County Council,963
604,17 years,Sligo County Council,933
605,17 years,Cavan County Council,1186
606,17 years,Donegal County Council,2366
607,17 years,Monaghan County Council,976
608,18 years,Ireland,66752
609,18 years,Carlow County Council,903
610,18 years,Dublin City Council,6434
611,18 years,Dún Laoghaire Rathdown County Council,2938
612,18 years,Fingal County Council,4473
613,18 years,South Dublin County Council,3971
614,18 years,Kildare County Council,3596
615,18 years,Kilkenny County Council,1414
616,18 years,Laois County Council,1299
617,18 years,Longford County Council,609
618,18 years,Louth County Council,1952
619,18 years,Meath County Council,3089
620,18 years,Offaly County Council,1221
621,18 years,Westmeath County Council,1264
622,18 years,Wexford County Council,2226
